Field1_text,Field1_links,Textbox_value,Text,Text1,Text2,Text3,Text4,Text5,Text6,Text7,Text8,Text9,Text10
合租·远洋一方润园2号院3居室-北卧,https://www.ziroom.com/x/785743538.html,2200,7.5㎡,朝北,3室1厅,3/14,有,远洋一方润园2号院,2011,板楼,独立供暖,30%,0.45
合租·北辰福第一号院3居室-西南卧,https://www.ziroom.com/x/663491951.html,2500,11.2㎡,朝西南,3室1厅,10/27,有,北辰福第一号院,2008,板楼,独立供暖,35%,2.8
合租·朝阳新城五区3居室-南卧,https://www.ziroom.com/x/759344309.html,2200,12.6㎡,朝南,3室1厅,5/6,无,朝阳新城五区,2008,板楼,独立供暖,40%,1.7
合租·保利嘉园一号院3居室-西卧,https://www.ziroom.com/x/785372707.html,2400,10.19㎡,朝西,3室1厅,6/18,有,保利嘉园一号院,2010,塔楼,独立供暖,35%,2.47
合租·万象新天天际高尔夫5居室-北卧,https://www.ziroom.com/x/729494887.html,2500,13.3㎡,朝北,5室1厅,5/18,有,万象新天天际高尔夫,2008,塔板结合,集体供暖,31%,1.4
合租·双惠小区3居室-南卧,https://www.ziroom.com/x/719905176.html,2900,15.6㎡,朝南,3室1厅,1/6,无,双惠小区,2008,板楼,独立供暖,30%,1.2
合租·世纪东方城4居室-西南卧,https://www.ziroom.com/x/729931678.html,2700,10.2㎡,朝西南,4室1厅,7/22,有,世纪东方城,2006,塔楼,集体供暖,34%,1.9
合租·管庄西里3居室-西卧,https://www.ziroom.com/x/741356532.html,2200,9.52㎡,朝西,3室1厅,12/24,有,管庄西里,1976,塔楼,集体供暖,30%,3.2
合租·康营家园十四区3居室-北卧,https://www.ziroom.com/x/767217217.html,2400,10.88㎡,朝北,3室1厅,4/11,有,康营家园十四区,2012,塔楼,壁挂炉,35%,0.5
合租·潘家园小区3居室-东卧,https://www.ziroom.com/x/808163267.html,2700,约14.58㎡,朝东,3室1厅,4/6,无,潘家园小区,1987,板楼,集体供暖,30%,2.6
合租·东洲家园2居室-南卧,https://www.ziroom.com/x/738891374.html,2900,10.6㎡,朝南,2室1厅,7/23,有,东洲家园,2018,塔板结合,集体供暖,35%,2.9
合租·育慧里二区5居室-南卧,https://www.ziroom.com/x/748208321.html,3100,14.08㎡,朝南,5室1厅,5/6,无,育慧里二区,1996,板楼,集体供暖,30%,1.5
合租·潘家园小区3居室-西卧,https://www.ziroom.com/x/808163274.html,2200,约8.84㎡,朝西,3室1厅,4/6,无,潘家园小区,1987,板楼,集体供暖,30%,2.6
合租·松榆东里3居室-西卧,https://www.ziroom.com/x/808120119.html,2500,约9.2㎡,朝西,3室1厅,3/6,无,松榆东里,2003,板楼,集体供暖,40%,0.2
合租·农光里3居室-北卧,https://www.ziroom.com/x/718252005.html,2700,11.1㎡,朝北,3室1厅,4/6,无,农光里,1996,板楼,集体供暖,30%,0.2
合租·保利嘉园三号院3居室-东卧,https://www.ziroom.com/x/764410037.html,2400,8.5㎡,朝东,3室1厅,5/24,有,保利嘉园三号院,2010,塔楼,壁挂炉,35%,2.47
合租·华腾园3居室-西南卧,https://www.ziroom.com/x/728386177.html,2900,11.1㎡,朝西南,3室1厅,5/28,有,华腾园,2003,塔楼,集体供暖,40%,2.1
合租·泰福苑D1区3居室-西北卧,https://www.ziroom.com/x/746220985.html,2200,约8㎡,朝西北,3室1厅,9/27,有,泰福苑D1区,2017,塔板结合,壁挂炉,30%,4.9
合租·劲松三区3居室-北卧,https://www.ziroom.com/x/758212125.html,2700,8.88㎡,朝北,3室1厅,3/6,无,劲松三区,1980,板楼,集体供暖,30%,0.2
合租·朝阳新城一区4居室-北卧,https://www.ziroom.com/x/762140043.html,2200,约10.4㎡,朝北,4室1厅,2/6,无,朝阳新城一区,2006,板楼,独立供暖,40%,1.7
合租·金隅汇景苑3居室-南卧,https://www.ziroom.com/x/808161272.html,2500,约14.7㎡,朝南,3室1厅,19/29,有,金隅汇景苑,2017,塔板结合,集体供暖,30%,2.5
合租·潘家园东里2居室-南卧,https://www.ziroom.com/x/631508191.html,2700,8.4㎡,朝南,2室1厅,6/6,无,潘家园东里,1992,板楼,集体供暖,40%,2
合租·聚福苑3居室-北卧,https://www.ziroom.com/x/614883216.html,2400,9.3㎡,朝北,3室1厅,22/27,有,聚福苑,2011,塔板结合,独立供暖,30%,2.8
合租·朝阳新城四区3居室-南卧,https://www.ziroom.com/x/788533743.html,2200,约8.7㎡,朝南,3室1厅,22/22,有,朝阳新城四区,2013,板楼,集体供暖,30%,0.1
合租·朝阳新城四区4居室-南卧,https://www.ziroom.com/x/777730465.html,2900,19.26㎡,朝南,4室1厅,2/22,有,朝阳新城四区,2013,板楼,集体供暖,30%,0.1
合租·万象新天四区4居室-北卧,https://www.ziroom.com/x/642956742.html,2200,约10.8㎡,朝北,4室1厅,3/5,无,万象新天四区,2005,板楼,集体供暖,30%,9
合租·慈云寺3居室-北卧,https://www.ziroom.com/x/716409199.html,2500,7.46㎡,朝北,3室1厅,1/6,无,慈云寺,1992,板楼,集体供暖,30%,1.25
合租·艺水芳园3居室-西卧,https://www.ziroom.com/x/710863806.html,2400,8.9㎡,朝西,3室1厅,9/17,有,艺水芳园,2005,塔板结合,独立供暖,40%,0.2
合租·光辉里小区3居室-北卧,https://www.ziroom.com/x/808168349.html,2900,约8.16㎡,朝北,3室1厅,5/14,有,光辉里小区,1989,塔楼,集体供暖,30%,1.5
合租·北苑家园绣菊园4居室-南卧,https://www.ziroom.com/x/699158629.html,3100,13.9㎡,朝南,4室1厅,24/25,有,北苑家园绣菊园,2003,塔楼,集体供暖,30%,2
合租·道家园4居室-南卧,https://www.ziroom.com/x/524673320.html,2400,6㎡,朝南,4室1厅,6/12,有,道家园,1999,塔板结合,集体供暖,40%,1.8
合租·金隅康惠园3号院3居室-南卧,https://www.ziroom.com/x/744725148.html,2200,约7.21㎡,朝南,3室1厅,18/22,有,金隅康惠园3号院,2011,塔楼,集体供暖,30%,2.5
合租·康营家园二十五区3居室-北卧,https://www.ziroom.com/x/787962704.html,2400,10.7㎡,朝北,3室1厅,4/11,有,康营家园二十五区,2012,塔板结合,壁挂炉,35%,0.5
合租·柏林爱乐二期4居室-南卧,https://www.ziroom.com/x/619027745.html,2500,约8㎡,朝南,4室1厅,11/22,有,柏林爱乐二期,2005,塔楼,集体供暖,35%,3.2
合租·京通苑3居室-北卧,https://www.ziroom.com/x/748231213.html,2200,约10.5㎡,朝北,3室1厅,6/6,无,京通苑,2003,板楼,集体供暖,33%,3.4
合租·国美第一城2号院4居室-西南卧,https://www.ziroom.com/x/726141694.html,2400,7.2㎡,朝西南,4室1厅,24/27,有,国美第一城2号院,2006,塔板结合,集体供暖,35%,3
合租·双合家园3居室-南卧,https://www.ziroom.com/x/807590786.html,2900,17.3㎡,朝南,3室2厅,1/22,有,双合家园,2018,板楼,集体供暖,30%,2.57
合租·紫南家园4居室-北卧,https://www.ziroom.com/x/762129470.html,2500,约9.2㎡,朝北,4室1厅,4/11,有,紫南家园,2002,板楼,集体供暖,34%,2
合租·奥林匹克花园四期4居室-北卧,https://www.ziroom.com/x/722417088.html,2200,约11.6㎡,朝北,4室1厅,8/10,有,奥林匹克花园四期,2009,板楼,独立供暖,45%,0.2
合租·武圣东里3居室-西卧,https://www.ziroom.com/x/766908369.html,3100,14.85㎡,朝西,3室1厅,3/4,无,武圣东里,1965,板楼,集体供暖,20%,1.7
合租·将府锦苑3居室-北卧,https://www.ziroom.com/x/758578494.html,2900,16.8㎡,朝北,3室1厅,16/28,有,将府锦苑,2018,板楼,壁挂炉,45%,0.029
合租·北京像素北区3居室-东北卧,https://www.ziroom.com/x/712584780.html,2200,约10㎡,朝东北,3室1厅,5/14,有,北京像素北区,2011,塔板结合,集体供暖,40%,2.38
合租·管庄西里3居室-东卧,https://www.ziroom.com/x/767711626.html,2400,9.8㎡,朝东,3室1厅,4/6,无,管庄西里,1976,板楼,集体供暖,30%,3.2
合租·武圣东里3居室-北卧,https://www.ziroom.com/x/783986868.html,2500,约7.3㎡,朝北,3室1厅,4/4,无,武圣东里,1965,板楼,集体供暖,20%,1.7
合租·朝阳新城四区4居室-北卧,https://www.ziroom.com/x/807492289.html,2200,约9㎡,朝北,4室1厅,15/22,有,朝阳新城四区,2013,板楼,集体供暖,30%,0.1
合租·农光南路2居室-北卧,https://www.ziroom.com/x/717390645.html,2500,约6.5㎡,朝北,2室1厅,5/6,无,农光南路,2000,板楼,集体供暖,30%,0.2
合租·劲松八区3居室-北卧,https://www.ziroom.com/x/779946527.html,2400,7.07㎡,朝北,3室1厅,3/6,无,劲松八区,1990,板楼,集体供暖,30%,0.2
合租·金隅悦和园3居室-南卧,https://www.ziroom.com/x/777709804.html,2400,9㎡,朝南,3室1厅,19/29,有,金隅悦和园,2014,板楼,集体供暖,30%,2.8
合租·定福家园3号院3居室-南卧,https://www.ziroom.com/x/714455813.html,2500,约8.1㎡,朝南,3室1厅,8/12,有,定福家园3号院,2007,板楼,独立供暖,30%,2.51
合租·康泉小区3居室-东卧,https://www.ziroom.com/x/696253371.html,2200,约10.1㎡,朝东,3室1厅,5/28,有,康泉小区,2015,板楼,集体供暖,34%,2.38
合租·汉华苑3居室-北卧,https://www.ziroom.com/x/613930084.html,3100,11㎡,朝北,3室1厅,14/22,有,汉华苑,2002,塔楼,集体供暖,35%,1.45
合租·连心园西区3居室-北卧,https://www.ziroom.com/x/780087177.html,2500,约14.9㎡,朝北,3室1厅,6/6,无,连心园西区,2006,板楼,集体供暖,30%,3.6
合租·金盏嘉园C区3居室-东南卧,https://www.ziroom.com/x/766044196.html,2400,8.8㎡,朝东南,3室1厅,14/14,有,金盏嘉园C区,2010,板楼,壁挂炉,35%,2.0
合租·北京像素北区3居室-东北卧,https://www.ziroom.com/x/738224014.html,2200,约9.7㎡,朝东北,3室1厅,11/13,有,北京像素北区,2011,塔板结合,集体供暖,40%,2.38
合租·弘善家园3居室-北卧,https://www.ziroom.com/x/808113588.html,2400,约7.95㎡,朝北,3室1厅,23/28,有,弘善家园,2012,塔楼,集体供暖,20%,4.4
合租·管庄西里3居室-北卧,https://www.ziroom.com/x/730320066.html,2200,约7.67㎡,朝北,3室1厅,2/6,无,管庄西里,1976,板楼,集体供暖,30%,3.2
合租·朝阳新城四区3居室-南卧,https://www.ziroom.com/x/719740470.html,2500,约11.4㎡,朝南,3室1厅,3/22,有,朝阳新城四区,2013,板楼,集体供暖,30%,0.1
合租·国美第一城2号院4居室-东南卧,https://www.ziroom.com/x/513384297.html,2400,7.2㎡,朝东南,4室1厅,16/27,有,国美第一城2号院,2006,塔板结合,集体供暖,35%,3
合租·弘善家园3居室-北卧,https://www.ziroom.com/x/808113581.html,2500,约9.2㎡,朝北,3室1厅,23/28,有,弘善家园,2012,塔楼,集体供暖,20%,4.4
合租·惠新苑5居室-西卧,https://www.ziroom.com/x/770146423.html,3100,10.7㎡,朝西,5室1厅,5/18,有,惠新苑,2001,塔楼,集体供暖,42%,2
合租·泰福苑D1区3居室-南卧,https://www.ziroom.com/x/646252824.html,2400,10.2㎡,朝南,3室1厅,8/27,有,泰福苑D1区,2017,塔板结合,壁挂炉,30%,4.9
合租·水郡长安4居室-北卧,https://www.ziroom.com/x/723458674.html,2500,约9.74㎡,朝北,4室1厅,9/19,有,水郡长安,2008,塔板结合,集体供暖,30%,2.9
合租·福盈家园2居室-北卧,https://www.ziroom.com/x/808141945.html,2400,7㎡,朝北,2室1厅,-1/20,有,福盈家园,2012,板楼,独立供暖,30%,3.0
合租·管庄新村3居室-南卧,https://www.ziroom.com/x/807047383.html,2400,11.3㎡,朝南,3室1厅,6/18,有,管庄新村,2011,塔板结合,独立供暖,20%,4.5
合租·武圣西里2居室-北卧,https://www.ziroom.com/x/795628129.html,2700,9.5㎡,朝北,2室1厅,6/6,无,武圣西里,1985,板楼,集体供暖,30%,0.2
合租·翠成馨园C区4居室-南卧,https://www.ziroom.com/x/718826827.html,2500,约9.8㎡,朝南,4室1厅,8/11,有,翠成馨园C区,2009,板楼,集体供暖,30%,2.5
合租·奥林匹克花园三期4居室-北卧,https://www.ziroom.com/x/746292862.html,2500,约12.2㎡,朝北,4室1厅,3/10,有,奥林匹克花园三期,2007,板楼,壁挂炉,42%,0.2
合租·众亿嘉园4居室-南卧,https://www.ziroom.com/x/610166409.html,2400,12.1㎡,朝南,4室1厅,1/16,有,众亿嘉园,2010,塔板结合,集体供暖,30%,3.6
合租·奥林匹克花园三期4居室-北卧,https://www.ziroom.com/x/746293153.html,2500,约11.8㎡,朝北,4室1厅,3/10,有,奥林匹克花园三期,2007,板楼,壁挂炉,42%,0.2
合租·安外北苑2号院5居室-南卧,https://www.ziroom.com/x/760060266.html,3100,9.1㎡,朝南,5室1厅,5/6,无,安外北苑2号院,2004,板楼,集体供暖,30%,0.2
合租·中海城圣朝菲4居室-南卧,https://www.ziroom.com/x/754260442.html,3300,18.6㎡,朝南,4室1厅,6/8,有,中海城圣朝菲,2012,板楼,集体供暖,30%,0.2
合租·京铁新苑3居室-南卧,https://www.ziroom.com/x/750028429.html,2400,11.7㎡,朝南,3室1厅,3/12,有,京铁新苑,2018,塔楼,集体供暖,15%,3.2
合租·远洋一方润园2号院4居室-南卧,https://www.ziroom.com/x/748967637.html,2500,约11.1㎡,朝南,4室1厅,2/6,无,远洋一方润园2号院,2011,板楼,独立供暖,30%,0.45
合租·连心园西区3居室-南卧,https://www.ziroom.com/x/667231698.html,3300,18.8㎡,朝南,3室1厅,6/6,有,连心园西区,2006,板楼,集体供暖,30%,3.6
合租·左家庄北里3居室-北卧,https://www.ziroom.com/x/724171721.html,2900,8.4㎡,朝北,3室1厅,2/6,无,左家庄北里,1986,板楼,集体供暖,18%,2
合租·农光南里3居室-北卧,https://www.ziroom.com/x/761485487.html,2700,6.7㎡,朝北,3室1厅,14/17,有,农光南里,1980,塔楼,集体供暖,20%,2.5
合租·农光里3居室-北卧,https://www.ziroom.com/x/807294315.html,2500,约7.35㎡,朝北,3室1厅,3/6,无,农光里,1996,板楼,集体供暖,30%,0.2
合租·芍药居北里3居室-南卧,https://www.ziroom.com/x/743004174.html,3100,12.3㎡,朝南,3室1厅,1/24,有,芍药居北里,2008,塔楼,集体供暖,30%,2.29
合租·世纪东方城4居室-南卧,https://www.ziroom.com/x/748578473.html,3300,22.6㎡,朝南,4室1厅,13/21,有,世纪东方城,2006,塔板结合,集体供暖,34%,1.9
合租·万象新天四区3居室-南卧,https://www.ziroom.com/x/727119551.html,2900,15.4㎡,朝南,3室1厅,9/18,有,万象新天四区,2005,塔板结合,集体供暖,30%,9
合租·松榆西里4居室-南卧,https://www.ziroom.com/x/584750896.html,3300,17.9㎡,朝南,4室1厅,6/6,无,松榆西里,1985,板楼,集体供暖,35%,2.1
,,3300,,,,,,,,,,,
合租·恒大江湾3居室-西卧,https://www.ziroom.com/x/744438901.html,2500,约9.41㎡,朝西,3室1厅,4/29,有,恒大江湾,2016,塔板结合,集体供暖,30%,2.0
合租·道家园3居室-西卧,https://www.ziroom.com/x/656404278.html,2700,8.5㎡,朝西,3室1厅,1/8,有,道家园,1999,塔板结合,集体供暖,40%,1.8
合租·团结湖北四条3居室-北卧,https://www.ziroom.com/x/722287690.html,2900,8.8㎡,朝北,3室1厅,2/6,无,团结湖北四条,1985,板楼,集体供暖,20%,2.5
合租·美景东方4居室-北卧,https://www.ziroom.com/x/787769189.html,3100,13.14㎡,朝北,4室1厅,19/20,有,美景东方,2000,塔板结合,集体供暖,39%,3.79
合租·北苑家园茉藜园3居室-北卧,https://www.ziroom.com/x/755489141.html,2700,8.9㎡,朝北,3室1厅,25/26,有,北苑家园茉藜园,2005,塔楼,集体供暖,50%,2
合租·广百西路16号院4居室-南卧,https://www.ziroom.com/x/734137695.html,3300,16.6㎡,朝南,4室1厅,6/15,有,广百西路16号院,2015,塔楼,集体供暖,30%,2.15
合租·定福家园北里1号院3居室-南卧,https://www.ziroom.com/x/774998072.html,2900,11.6㎡,朝南,3室1厅,13/14,有,定福家园北里1号院,2007,塔板结合,壁挂炉,30%,2.3
合租·北苑家园清友园4居室-北卧,https://www.ziroom.com/x/779039965.html,3300,21.3㎡,朝北,4室1厅,21/25,有,北苑家园清友园,2001,塔楼,集体供暖,40%,2
合租·雅成一里3居室-东卧,https://www.ziroom.com/x/793211180.html,3100,9.8㎡,朝东,3室1厅,2/24,有,雅成一里,1999,塔楼,独立供暖,20%,3
合租·华威西里3居室-北卧,https://www.ziroom.com/x/750133965.html,2700,8.7㎡,朝北,3室1厅,4/6,无,华威西里,1982,板楼,集体供暖,37%,5.13
合租·连心园西区2居室-北卧,https://www.ziroom.com/x/710885631.html,2900,16.43㎡,朝北,2室1厅,1/6,无,连心园西区,2006,板楼,集体供暖,30%,3.6
合租·延静西里3居室-北卧,https://www.ziroom.com/x/723825140.html,2700,8.05㎡,朝北,3室1厅,6/6,无,延静西里,1997,板楼,集体供暖,30%,2.5
合租·北京像素北区3居室-东北卧,https://www.ziroom.com/x/716462161.html,3100,15.2㎡,朝东北,3室1厅,9/14,有,北京像素北区,2011,塔板结合,集体供暖,40%,2.38
合租·万象新天罗兰大道4居室-北卧,https://www.ziroom.com/x/656093214.html,2900,13.5㎡,朝北,4室1厅,12/14,有,万象新天罗兰大道,2009,塔板结合,集体供暖,33%,1.4
合租·劲松七区3居室-北卧,https://www.ziroom.com/x/788565171.html,2700,11㎡,朝北,3室1厅,3/6,无,劲松七区,1988,板楼,集体供暖,30%,0.2
合租·沿海赛洛城七期4居室-南卧,https://www.ziroom.com/x/787081459.html,3100,10㎡,朝南,4室1厅,10/10,有,沿海赛洛城七期,2010,板楼,集体供暖,30%,2.64
合租·翠成馨园A区4居室-南卧,https://www.ziroom.com/x/759647531.html,2900,14.5㎡,朝南,4室1厅,17/21,有,翠成馨园A区,2008,塔楼,集体供暖,30%,2.5
合租·八里庄北里小区3居室-南卧,https://www.ziroom.com/x/795939790.html,3300,12.8㎡,朝南,3室1厅,3/6,无,八里庄北里小区,1997,板楼,集体供暖,40%,2.3
合租·日月东华3居室-南卧,https://www.ziroom.com/x/766349940.html,3100,11.1㎡,朝南,3室1厅,21/21,有,日月东华,2000,塔楼,集体供暖,30%,0.6
合租·安慧北里秀园3居室-北卧,https://www.ziroom.com/x/624839258.html,2700,7.4㎡,朝北,3室1厅,5/6,无,安慧北里秀园,1993,板楼,集体供暖,30%,2.1
合租·通惠家园3居室-西卧,https://www.ziroom.com/x/807883414.html,2900,11.6㎡,朝西,3室1厅,3/28,有,通惠家园,2001,塔楼,集体供暖,31%,0.2
合租·通惠家园5居室-南卧,https://www.ziroom.com/x/761442419.html,3100,14.8㎡,朝南,5室1厅,6/7,无,通惠家园,2001,板楼,集体供暖,31%,0.2
合租·武圣东里2居室-南卧,https://www.ziroom.com/x/747270816.html,3300,14.4㎡,朝南,2室1厅,1/4,无,武圣东里,1965,板楼,集体供暖,20%,1.7
合租·兴隆家园3居室-北卧,https://www.ziroom.com/x/755055163.html,2700,8.4㎡,朝北,3室1厅,1/24,有,兴隆家园,2002,塔楼,集体供暖,35%,2.8
合租·团结湖水利局宿舍3居室-北卧,https://www.ziroom.com/x/747311750.html,3100,10㎡,朝北,3室1厅,4/5,无,团结湖水利局宿舍,1990,板楼,集体供暖,20%,1.5
合租·红庙北里3居室-南卧,https://www.ziroom.com/x/710124957.html,3300,12.54㎡,朝南,3室1厅,18/18,有,红庙北里,1990,板楼,集体供暖,30%,2.5
合租·晨光家园B区4居室-北卧,https://www.ziroom.com/x/623989814.html,3300,11.8㎡,朝北,4室1厅,6/10,有,晨光家园B区,2006,板楼,集体供暖,30%,0.3
合租·华威北里2居室-东卧,https://www.ziroom.com/x/790208836.html,3100,9.9㎡,朝东,2室1厅,1/19,有,华威北里,1993,塔楼,集体供暖,30%,3.5
合租·圣馨大地4居室-南卧,https://www.ziroom.com/x/620699714.html,3300,11.6㎡,朝南,4室1厅,19/29,有,圣馨大地,2001,塔楼,集体供暖,62%,4.1
合租·后现代城C区3居室-西卧,https://www.ziroom.com/x/624967871.html,3300,12.4㎡,朝西,3室1厅,23/28,有,后现代城C区,2009,塔楼,集体供暖,30%,2.8
合租·华威西里3居室-西南卧,https://www.ziroom.com/x/728601420.html,3300,13㎡,朝西南,3室1厅,10/18,有,华威西里,1982,塔楼,集体供暖,37%,5.13
合租·翠成馨园C区3居室-南卧,https://www.ziroom.com/x/777070962.html,2600,17.6㎡,朝南,3室1厅,1/11,有,翠成馨园C区,2009,塔板结合,集体供暖,30%,2.5
合租·瞰都国际5居室-北卧,https://www.ziroom.com/x/710259884.html,3100,9.22㎡,朝北,5室1厅,15/19,有,瞰都国际,2005,塔楼,集体供暖,33%,2.66
合租·南湖东园二区3居室-南卧,https://www.ziroom.com/x/783240453.html,3300,8.6㎡,朝南,3室1厅,19/20,有,南湖东园二区,1999,塔楼,集体供暖,30%,2.8
合租·定福家园3号院3居室-西卧,https://www.ziroom.com/x/768539812.html,2600,12.1㎡,朝西,3室1厅,14/16,有,定福家园3号院,2007,板楼,壁挂炉,30%,2.51
合租·中海城圣朝菲4居室-南卧,https://www.ziroom.com/x/724120699.html,2600,14.5㎡,朝南,4室1厅,7/8,有,中海城圣朝菲,2012,板楼,集体供暖,30%,0.2
合租·北京像素南区3居室-西南卧,https://www.ziroom.com/x/788222567.html,2600,10.98㎡,朝西南,3室1厅,8/16,有,北京像素南区,2012,塔板结合,集体供暖,30%,3.32
合租·中海城圣朝菲4居室-南卧,https://www.ziroom.com/x/731741989.html,2900,13.6㎡,朝南,4室1厅,4/20,有,中海城圣朝菲,2012,塔板结合,集体供暖,30%,0.2
,,2600,,,,,,,,,,,
合租·金港国际4居室-北卧,https://www.ziroom.com/x/718533402.html,3100,8.3㎡,朝北,4室1厅,8/9,有,金港国际,2007,板楼,集体供暖,32%,1.8
合租·双花园南里二区4居室-南卧,https://www.ziroom.com/x/651662546.html,3300,11㎡,朝南,4室1厅,1/22,有,双花园南里二区,2003,塔楼,集体供暖,30%,3
合租·富力阳光美园3居室-北卧,https://www.ziroom.com/x/772180707.html,2600,12.3㎡,朝北,3室1厅,20/20,有,富力阳光美园,2010,板楼,壁挂炉,30%,2.49
合租·华威北里3居室-南卧,https://www.ziroom.com/x/644866994.html,2900,12㎡,朝南,3室1厅,3/19,有,华威北里,1993,塔楼,集体供暖,30%,3.5
合租·金隅康惠园2号院3居室-东卧,https://www.ziroom.com/x/767442063.html,2600,13㎡,朝东,3室1厅,15/20,有,金隅康惠园2号院,2012,塔楼,集体供暖,30%,2.5
合租·世纪东方城3居室-北卧,https://www.ziroom.com/x/752334701.html,2900,14.8㎡,朝北,3室1厅,2/21,有,世纪东方城,2006,塔板结合,集体供暖,34%,1.9
合租·金星园2居室-西卧,https://www.ziroom.com/x/627359674.html,3100,9.15㎡,朝西,2室1厅,4/12,有,金星园,2005,塔板结合,集体供暖,35%,2.81
合租·沁园4居室-北卧,https://www.ziroom.com/x/625883117.html,2600,14㎡,朝北,4室1厅,26/26,有,沁园,2013,塔板结合,集体供暖,40%,4.1
合租·北京像素北区4居室-东卧,https://www.ziroom.com/x/408349833.html,2700,14.5㎡,朝东,4室1厅,4/17,有,北京像素北区,2011,塔板结合,集体供暖,40%,2.38
合租·珠江绿洲3居室-东北卧,https://www.ziroom.com/x/710706763.html,2600,9.61㎡,朝东北,3室1厅,28/31,有,珠江绿洲,2007,塔楼,集体供暖,60%,0.3
合租·澳林春天三期4居室-北卧,https://www.ziroom.com/x/770826975.html,3100,12.5㎡,朝北,4室1厅,5/7,无,澳林春天三期,2000,板楼,壁挂炉,26%,1.6
合租·柏林爱乐三期3居室-南卧,https://www.ziroom.com/x/783879877.html,2400,8.68㎡,朝南,3室1厅,20/21,有,柏林爱乐三期,2008,板楼,集体供暖,30%,2.2
合租·育慧街2号院3居室-北卧,https://www.ziroom.com/x/779973687.html,2700,6.5㎡,朝北,3室1厅,1/6,无,育慧街2号院,1996,板楼,集体供暖,32%,3.3
合租·连心园西区3居室-南卧,https://www.ziroom.com/x/711182354.html,3300,20㎡,朝南,3室1厅,6/6,无,连心园西区,2006,板楼,集体供暖,30%,3.6
合租·双惠小区3居室-北卧,https://www.ziroom.com/x/729879007.html,2600,10.6㎡,朝北,3室1厅,4/6,无,双惠小区,2008,板楼,独立供暖,30%,1.2
合租·国美第一城3号院3居室-东北卧,https://www.ziroom.com/x/769636688.html,3100,9.8㎡,朝东北,3室1厅,15/26,有,国美第一城3号院,2008,塔板结合,集体供暖,35%,3
合租·珠江罗马嘉园西区3居室-北卧,https://www.ziroom.com/x/645328605.html,2600,9㎡,朝北,3室1厅,2/11,有,珠江罗马嘉园西区,2008,塔板结合,集体供暖,30%,2.93
合租·青年汇佳园3居室-东卧,https://www.ziroom.com/x/615420599.html,3300,10.05㎡,朝东,3室1厅,6/13,有,青年汇佳园,2005,板楼,集体供暖,24%,1.6
合租·八里庄南里3居室-北卧,https://www.ziroom.com/x/659597669.html,2600,8.5㎡,朝北,3室1厅,5/6,无,八里庄南里,1993,板楼,集体供暖,30%,2.1
合租·梵谷水郡3居室-北卧,https://www.ziroom.com/x/741727848.html,2700,9.19㎡,朝北,3室1厅,15/24,有,梵谷水郡,2008,塔楼,集体供暖,33%,2.6
合租·福怡苑4居室-西卧,https://www.ziroom.com/x/655675471.html,2400,12㎡,朝西,4室1厅,6/7,无,福怡苑,2003,板楼,独立供暖,30%,0.3
合租·福怡苑3居室-东卧,https://www.ziroom.com/x/727968980.html,2600,11.69㎡,朝东,3室1厅,5/7,无,福怡苑,2003,板楼,独立供暖,30%,0.3
合租·烟厂宿舍3居室-南卧,https://www.ziroom.com/x/721439813.html,2700,16.7㎡,朝南,3室1厅,1/6,无,烟厂宿舍,1992,板楼,集体供暖,25%,3.2
合租·顺源里3居室-北卧,https://www.ziroom.com/x/726931468.html,3100,8.9㎡,朝北,3室1厅,4/6,无,顺源里,1983,板楼,集体供暖,35%,0.3
合租·甜水园东里3居室-东卧,https://www.ziroom.com/x/746223992.html,3300,11.9㎡,朝东,3室1厅,5/6,无,甜水园东里,2000,板楼,集体供暖,30%,2
合租·北京像素北区3居室-西南卧,https://www.ziroom.com/x/633821231.html,2700,13.5㎡,朝西南,3室1厅,14/14,有,北京像素北区,2011,塔板结合,集体供暖,40%,2.38
合租·美然动力A2区4居室-北卧,https://www.ziroom.com/x/731012064.html,2600,9.5㎡,朝北,4室1厅,5/10,有,美然动力A2区,2003,板楼,集体供暖,30%,0.2
合租·北京新天地一期4居室-西卧,https://www.ziroom.com/x/784091822.html,2400,10.7㎡,朝西,4室1厅,8/28,有,北京新天地一期,2008,塔板结合,集体供暖,30%,3.1
合租·团结湖北二条3居室-北卧,https://www.ziroom.com/x/756434115.html,2600,6.1㎡,朝北,3室1厅,5/6,无,团结湖北二条,1992,板楼,集体供暖,30%,2
合租·松榆西里3居室-南卧,https://www.ziroom.com/x/618309905.html,2600,8㎡,朝南,3室1厅,4/6,无,松榆西里,1985,板楼,集体供暖,35%,2.1
合租·紫萝园3居室-东卧,https://www.ziroom.com/x/725211852.html,3100,13.2㎡,朝东,3室1厅,19/21,有,紫萝园,2001,塔楼,集体供暖,30%,0.6
合租·东一时区3居室-南卧,https://www.ziroom.com/x/793756611.html,2400,11.22㎡,朝南,3室1厅,8/15,有,东一时区,2006,塔板结合,集体供暖,32%,5.55
合租·芍药居北里3居室-南卧,https://www.ziroom.com/x/782371042.html,3300,10㎡,朝南,3室1厅,2/7,无,芍药居北里,2008,板楼,集体供暖,30%,2.29
合租·泰福苑D2区3居室-北卧,https://www.ziroom.com/x/614601065.html,2400,8㎡,朝北,3室1厅,8/27,有,泰福苑D2区,2016,板楼,壁挂炉,35%,4.9
